ALFFEB;EX;NOTAFINAL;PEC2;PEC3;PEC1
NP;NP;0;NP;NP;NP
2,7;6,5;7.3;4.5;15;8
NP;NP;0;NP;0;NP
2,5;6,1;6.8;3.5;15;8
.90;4,7;4.2;NP;NP;9
2;NP;0;5;NP;10
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
NP;.50;.50;NP;0;0
NP;.50;.50;NP;0;NP
1;2;2;4.5;NP;1
1,1;.20;.20;1.5;NP;8
NP;NP;0;NP;NP;NP
2,8;7,1;7.8;5;11.25;10
2,7;4,3;5.7;5;9.75;10
NP;NP;0;NP;NP;NP
2;10;9;5;NP;10
3;8,3;8.8;5;15;10
NP;NP;0;NP;0;NP
2,9;9,3;9.4;5;13.5;10
2,8;5,6;6.7;5;13.5;9
1,3;NP;0;3.5;0;6
2,8;7,9;8.3;5;12;10
1,7;6,4;6.2;3.5;6;6
2;4,3;5;5;NP;10
NP;NP;0;NP;NP;NP
.90;NP;0;NP;NP;9
2,9;4,8;6.3;4.5;14.25;10
.20;NP;0;NP;0;2
.70;NP;0;2;0;3
NP;3;3;NP;NP;NP
NP;8,6;6;NP;NP;NP
.50;NP;0;NP;0;5
2,8;8,6;8.8;4;15;10
.30;.30;.30;NP;NP;3
3;9,3;9.5;5;15;10
2,7;8,8;8.9;4;15;9
1,7;5,3;5.4;4.5;0;8
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
2,7;4,7;6;3.5;15;10
2;3,9;3.9;5;NP;10
1,4;9;7.7;4.5;NP;5
3;5,4;6.8;5;15;10
NP;NP;0;NP;NP;NP
1,6;4,7;5;3;NP;10
2;4;5;5;0;10
NP;NP;0;NP;NP;NP
.60;NP;0;3;NP;NP
2;.50;.50;5;NP;10
1,4;3,1;3.1;4;NP;6
1,9;4,9;5.3;2.5;15;4
2;.50;.50;5;NP;10
3;5,7;7;5;15;10
3;5,7;7;5;15;10
1,9;NP;0;5;13.5;NP
