PECFINAL;EX;NOTAFINAL;PEC1;PEC3;PEC2
.20;NP;0;2;NP;NP
.80;NP;0;5;NP;3
2,8;4,8;6.2;10;15;3
2,6;8,6;9;8;12.75;5
NP;NP;0;NP;NP;NP
1;5,2;5;7;NP;2.5
.50;.90;.90;5;NP;NP
2,8;4,3;5.8;10;13.5;4.5
2,7;7,6;8;9;13.5;4.5
2,9;NP;0;10;14.25;5
.40;3;3;4;NP;NP
1,5;5;5;10;NP;5
NP;NP;0;NP;NP;NP
1,4;3,5;3.5;9;NP;4.5
NP;NP;0;NP;NP;NP
2,7;5,1;6.3;10;12;5
3;5,5;5;10;15;5
1,9;.80;.80;10;3.75;5
NP;NP;0;10;NP;NP
1;.00;.00;10;15;5
3;9,3;9.5;6;NP;NP
.60;NP;0;10;15;4
2,9;8;8.5;NP;NP;NP
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
NP;.00;.00;6;NP;4.5
1,1;NP;0;10;14.25;NP
2,4;4,2;5.3;10;NP;5
1,5;.20;.20;NP;NP;NP
NP;NP;0;NP;NP;NP
1,5;6,3;5;NP;15;NP
.80;2,4;2.4;8;NP;NP
.50;4,9;3.9;NP;NP;5
1,1;7,2;6.1;7;NP;3.5
1,5;2,3;2.3;10;NP;5
2,3;4,6;5.5;9;13.5;NP
